Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
Defining Dulcie,"From a debut author comes a story of finding oneself in a place all too familiar. After Dulcie Morrigan Jones's dad dies, her mom decides they need to find a new life in California. But Dulcie doesn't understand what's wrong with her old life back in Newbury, Connecticut. So she heads across country and back home in her father's red 1968 Chevy pickup truck. When she arrives, she meets Roxanne, a girl whose home life makes Dulcie see that her own situation may not be all that bad after all. And as the summer comes to an end, Dulcie realizes that maybe it's necessary to leave a place in order to come back and find out who you really are.",['Paul Acampora'],http://books.google.com/books/content?id=DuUfdsGTQGkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=DuUfdsGTQGkC&printsec=frontcover&dq=Defining+Dulcie&hl=&cd=1&source=gbs_api,Penguin,2008-05-29,https://play.google.com/store/books/details?id=DuUfdsGTQGkC&source=gbs_api,['Young Adult Fiction'],7.0
IBM(R) WebSphere(R) Application Server Programming,"Develop and deploy powerful Web-based applications on multiple platforms--including UNIX, NT, and AIX. Packed with essential information as well as advanced techniques for developers and system integrators, this book will help you maximize every aspect of WebSphere's functionality, and fully leverage the power of this key e-infrastructure software. Covering core Web technologies including EJB, J2EE, and servlets and including original source code for hundreds of working programs, IBM WebSphere Application Server Programming belongs in the hands of every serious WebSphere developer and system integrator.",['Bassem W. Jamaleddine'],http://books.google.com/books/content?id=7NB3tkgSMpwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=7NB3tkgSMpwC&q=IBM(R)+WebSphere(R)+Application+Server+Programming&dq=IBM(R)+WebSphere(R)+Application+Server+Programming&hl=&cd=1&source=gbs_api,McGraw Hill Professional,2002-12-31,https://play.google.com/store/books/details?id=7NB3tkgSMpwC&source=gbs_api,['Computers'],
"The Work and the Glory, Vol. 4: Thy Gold to Refine","The story of the fictional Steed family enters one of the stormiest and yet most inspiring periods in the history of the Church of Jesus Christ of Latter-Day Saints. Picking up where volume 3 left off in the summer of 1838, this installment finds the Steeds (all but their daughter Melissa and her family) happily reunited in Far West, Missouri, only to be thrown into a maelstrom of intense and tragic events: the election-day battle at Gallatin; the siege of DeWitt; the Battle of Crooked River; the issuing of Governor Bogg's extermination order; the Haun's Mill massacre; the fall of Far West, the incarceration of the Prophet Joseph Smith; and the expulsion from Missouri. Beloved characters from previous volums return here, including Joshua Steet, who, although reconciled to his family now, finds that his commission in the Missouri state militia forces him to be aligned with those opposing the Mormons.",['Gerald N. Lund'],http://books.google.com/books/content?id=M9mFNwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.com/books?id=M9mFNwAACAAJ&dq=The+Work+and+the+Glory,+Vol.+4:+Thy+Gold+to+Refine&hl=&cd=1&source=gbs_api",Bookcraft Pubs,1993-10,"http://books.google.com/books?id=M9mFNwAACAAJ&dq=The+Work+and+the+Glory,+Vol.+4:+Thy+Gold+to+Refine&hl=&source=gbs_api",['Fiction'],2.0
The Encyclopedia Of International Organized Crime (Facts on File Crime Library),"An overview of organized crime examines the world's crime syndicates and discusses the origins, history, practices, and role in the global underworld of such criminal organizations as the Yakuza, the Triads, the Jamaican Posse, the South American drug cartels, and the Russian Mafia.",['Carlo DeVito'],http://books.google.com/books/content?id=AI6uQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=AI6uQgAACAAJ&dq=The+Encyclopedia+Of+International+Organized+Crime+(Facts+on+File+Crime+Library)&hl=&cd=1&source=gbs_api,Checkmark Books,2005,http://books.google.com/books?id=AI6uQgAACAAJ&dq=The+Encyclopedia+Of+International+Organized+Crime+(Facts+on+File+Crime+Library)&hl=&source=gbs_api,['True Crime'],
The 12 Leadership Principles of Dean Smith,"Drawing on his coach's winning program on the court, Tar Heels forward David Chadwick recalls the secret of Dean Smith's success in basketball, transforming his philosophy into a ""people-first"" formula for winning in life as well. 30,000 first printing.",['David Chadwick'],http://books.google.com/books/content?id=J8_ZAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=J8_ZAAAAMAAJ&q=The+12+Leadership+Principles+of+Dean+Smith&dq=The+12+Leadership+Principles+of+Dean+Smith&hl=&cd=1&source=gbs_api,Total/Sports Illustrated,1999,http://books.google.com/books?id=J8_ZAAAAMAAJ&dq=The+12+Leadership+Principles+of+Dean+Smith&hl=&source=gbs_api,['Business & Economics'],
Death of a Pilgrim,"A murder in Israel has repercussions in New York & Florence, Italy.",['Muriel Kagan Zager'],http://books.google.com/books/content?id=ldoDAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=ldoDAAAACAAJ&dq=Death+of+a+Pilgrim&hl=&cd=1&source=gbs_api,,1999-10-01,http://books.google.com/books?id=ldoDAAAACAAJ&dq=Death+of+a+Pilgrim&hl=&source=gbs_api,['Fiction'],
Genesis for Today 3rd Edition: The relevance of the creationevolution debate to today's society,"In Jesus on Trial, New York Times bestselling author David Limbaugh applies his lifetime of legal experience to a unique new undertaking: making a case for the gospels as hard evidence of the life and work of Jesus Christ. Limbaugh, a practicing attorney and former professor of law, approaches the canonical gospels with the same level of scrutiny he would apply to any legal document and asks all the necessary questions about the story of Jesus told through Matthew, Mark, Luke, and John. His analysis of the texts becomes profoundly personal as he reflects on his own spiritual and intellectual odyssey from determined skeptic to devout Christian. Ultimately, Limbaugh concludes that the words Christians have treasured for centuries stand up to his exhaustive enquiry—including his examination of historical and religious evidence beyond the gospels—and thereby affirms Christian faith, spirituality, and tradition.",['David Limbaugh'],http://books.google.com/books/content?id=_-gHDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=_-gHDAAAQBAJ&pg=PA383&dq=Genesis+for+Today+3rd+Edition:+The+relevance+of+the+creationevolution+debate+to+today%27s+society&hl=&cd=1&source=gbs_api,Regnery Publishing,2014-11-17,http://books.google.com/books?id=_-gHDAAAQBAJ&dq=Genesis+for+Today+3rd+Edition:+The+relevance+of+the+creationevolution+debate+to+today%27s+society&hl=&source=gbs_api,['Religion'],
HANDBOOK OF CARDIAC ELECTROPHYSIOLOGY,"Handbook of Cardiac Electrophysiology provides a comprehensive introductory-level guide to invasive cardiac EP studies. Its focus is to enable the reader to understand and interpret the recording and stimulation techniques used during an EP study. The primary emphasis is on tachyarrhythmia diagnosis, but the book also includes bradycardias, the principles of catheter ablation and new mapping techniques. The main concepts are explained diagrammatically in a 4 colour format with clinical multichannel intracardiac recordings being used to illustrate the concepts discussed. The book provides sufficient practical information to enable the reader to plan an EP study and interpret the intracardiac recordings of most common tachycardias.",['Francis D. Murgatroyd'],http://books.google.com/books/content?id=bVbU4gZJBk0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=bVbU4gZJBk0C&printsec=frontcover&dq=HANDBOOK+OF+CARDIAC+ELECTROPHYSIOLOGY&hl=&cd=1&source=gbs_api,Remedica,2002,http://books.google.com/books?id=bVbU4gZJBk0C&dq=HANDBOOK+OF+CARDIAC+ELECTROPHYSIOLOGY&hl=&source=gbs_api,['Medical'],2.0
An introduction to algebraic topology (International series of monographs in pure and applied mathematics),,['Andrew H. Wallace'],,http://books.google.com/books?id=i43xwAEACAAJ&dq=An+introduction+to+algebraic+topology+(International+series+of+monographs+in+pure+and+applied+mathematics)&hl=&cd=1&source=gbs_api,,1957,http://books.google.com/books?id=i43xwAEACAAJ&dq=An+introduction+to+algebraic+topology+(International+series+of+monographs+in+pure+and+applied+mathematics)&hl=&source=gbs_api,,
Grace and glory / E.L. Mascall ;,"Charles Miller's rigorous and sensitive examination of Richard Hooker's theology makes a valuable addition to the field of study of the cleric, one of the founding theologians of modern Anglicanism. Miller examines Hooker's works in detail, leading the reader through different facets of his vision of God: creation, Scripture, the sacraments, and practices of Christian devotion. Hooker's theology challenges an increasingly time-bound, relativistic approach to doctrine and truth; his sources were as wide, as ancient, and as modern as Hooker could make them. Miller's thoughtful analysis is informed throughout by an understanding of the context of Hooker's theological development against the backdrop of continental Calvinism and the remnants of Roman Catholicism in England. The growth of interest in Hooker among specialists has been accompanied by an abandonment of the serious study of Hooker's thought among theological students, clergy and theologians. Miller's work addresses thislack; Hooker's insights must not be forgotten in the daily distribution of theological food to Christian people. A study which attunes readers to Hooker's particular theological 'voice' and teaches its value both in his own context and as a present-day interlocutor, this volume will be of great interest to Christians and theological students alike.",['Charles Miller'],http://books.google.com/books/content?id=i-bkDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=i-bkDwAAQBAJ&pg=PA121&dq=Grace+and+glory+/+E.L.+Mascall+%3B&hl=&cd=1&source=gbs_api,ISD LLC,2013-07-25,https://play.google.com/store/books/details?id=i-bkDwAAQBAJ&source=gbs_api,['Religion'],1.0
