Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
Its Only Art If Its Well Hung!,,['Julie Strain'],http://books.google.com/books/content?id=DykPAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=DykPAAAACAAJ&dq=Its+Only+Art+If+Its+Well+Hung!&hl=&cd=1&source=gbs_api,,1996,http://books.google.nl/books?id=DykPAAAACAAJ&dq=Its+Only+Art+If+Its+Well+Hung!&hl=&source=gbs_api,['Comics & Graphic Novels'],
Pyrography Designs,"This book offers 30 North American wildlife illustrations and 10 border designs to use in woodburning projects. Large ready-to-use designs are provided in both line and tonal patterns. The author includes tips on transferring patterns, plus advice on segmenting and manipulating the images to create your own custom designs.",['Sue Walters'],http://books.google.com/books/content?id=f5hOnQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=f5hOnQEACAAJ&dq=Pyrography+Designs&hl=&cd=1&source=gbs_api,Fox Chapel Publishing Company Incorporated,2014-02-01,http://books.google.nl/books?id=f5hOnQEACAAJ&dq=Pyrography+Designs&hl=&source=gbs_api,['Art'],
"Bye-Bye, Mom and Dad",Little Critter thinks he is in charge when Mom and Dad go away for the day even though Grandma and Grandpa spend the day with him.,['Mercer Mayer'],,"http://books.google.nl/books?id=5iK9tAEACAAJ&dq=Bye-Bye,+Mom+and+Dad&hl=&cd=1&source=gbs_api",,2004,"http://books.google.nl/books?id=5iK9tAEACAAJ&dq=Bye-Bye,+Mom+and+Dad&hl=&source=gbs_api",['Families'],
Hypatia or New Foes with an Old Face,"This book is part of the TREDITION CLASSICS series. The creators of this series are united by passion for literature and driven by the intention of making all public domain books available in printed format again - worldwide. At tredition we believe that a great book never goes out of style. Several mostly non-profit literature projects provide content to tredition. To support their good work, tredition donates a portion of the proceeds from each sold copy. As a reader of a TREDITION CLASSICS book, you support our mission to save many of the amazing works of world literature from oblivion.",['Charles Kingsley'],http://books.google.com/books/content?id=wX9EtQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=wX9EtQAACAAJ&dq=Hypatia+or+New+Foes+with+an+Old+Face&hl=&cd=1&source=gbs_api,Tredition Classics,2011-11,http://books.google.nl/books?id=wX9EtQAACAAJ&dq=Hypatia+or+New+Foes+with+an+Old+Face&hl=&source=gbs_api,,
Musings of an Eccentric Dreamer: An Anthology of Love Poetry,"In het koninkrijk Alban gaat het volk gebukt onder het schrikbewind van koning Keldec. Het gebruik van magie is er verboden. Contact met een van de vele magische wezens die het land bevolken, wordt steeds vaker met de dood bestraft. De vijftienjarige Neryn is samen met haar vader op de vlucht voor de krijgers van Keldec. Dan gebeurt er iets verschrikkelijks. Haar vader ondergaat als het ware een gedaanteverwisseling, en vóór het goed en wel tot Neryn doordringt, wordt ze door hem verspeeld in een illegaal dobbelspel. Neryn rest geen andere keuze dan zich te schikken naar de wensen van de geheimzinnige onbekende die nu haar heer en meester is. Maar er is hoop. Neryn ontdekt dat zij beschikt over een unieke gave, een onverwacht talent dat haar het doelwit maakt van verschillende partijen, onder wie de trawanten van Keldec. En dat talent komt maar wat van pas als Neryn het vluchten zat is en besluit terug te vechten...",['Juliet Marillier'],http://books.google.com/books/content?id=5ccvAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=5ccvAgAAQBAJ&printsec=frontcover&dq=Musings+of+an+Eccentric+Dreamer:+An+Anthology+of+Love+Poetry&hl=&cd=1&source=gbs_api,Luitingh Sijthoff Fantasy,2012-07-11,https://play.google.com/store/books/details?id=5ccvAgAAQBAJ&source=gbs_api,['Fiction'],
The Stone that the Builder Refused: A Novel,"The Stone that the Builder Refused is the final volume of Madison Smartt Bell’s masterful trilogy about the Haitian Revolution–the first successful slave revolution in history–which begins with All Souls' Rising (a finalist for the National Book Award and the PEN/Faulkner Award) and continues with Master of the Crossroads. Each of these three novels can be read independently of the two others; of the trilogy, The Baltimore Sun has said, “[It] will make an indelible mark on literary history–one worthy of occupying the same shelf as Tolstoy’s War and Peace.”",['Madison Smartt Bell'],http://books.google.com/books/content?id=cHir6mDPmtwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=cHir6mDPmtwC&printsec=frontcover&dq=The+Stone+that+the+Builder+Refused:+A+Novel&hl=&cd=1&source=gbs_api,Vintage,2007-12-18,https://play.google.com/store/books/details?id=cHir6mDPmtwC&source=gbs_api,['Fiction'],
El Kybalion,"El Kybalion es la filosofia hermetica del Antiguo Egipto y Grecia. Esta breve obra esta basada en las antiquisimas ensenanzas hermeticas que han llegado hasta nosotros a lo largo de estos siglos desde la existencia de su Gran Fundador, Hermes Trismegistus, el ""escriba de los dioses,"" que vivio en el antiguo Egipto. El objetivo de esta obra no es la presentacion de ninguna filosofia o doctrina especiales, sino mas bien expone un texto donde se plantea la verdad que servira para ayudar a reunir todas las partes del conocimiento oculto. No pretende erigir un nuevo templo de sabiduria, sino mas bien aportar al estudioso las herramientas con las que pueda comprender y abrir las puertas internas del Templo del Misterio, y aplicar sus principios.",['Tres Iniciados'],http://books.google.com/books/content?id=Fn5DnwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=Fn5DnwEACAAJ&dq=El+Kybalion&hl=&cd=1&source=gbs_api,,2013-11,http://books.google.nl/books?id=Fn5DnwEACAAJ&dq=El+Kybalion&hl=&source=gbs_api,,
His Grace Endures (Regency Romance),"While trying to help her younger sister-in-law find a respectable mate in London, Deirdre Broghan finds herself beset by the man she once left standing at the altar, the devilish and devilishly handsome Duke of Conover. Original.",['Emma Jensen'],http://books.google.com/books/content?id=-qaIPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=-qaIPQAACAAJ&dq=His+Grace+Endures+(Regency+Romance)&hl=&cd=1&source=gbs_api,Ivy Books,1998-04-29,http://books.google.nl/books?id=-qaIPQAACAAJ&dq=His+Grace+Endures+(Regency+Romance)&hl=&source=gbs_api,['Fiction'],
ZOMBIE LOVER (XANTH),"Something’s rotten in the land of Xanth—and it’s not just the undead—in this “cheeky” adventure in the New York Times–bestselling series (Publishers Weekly). Horrors and hilarity collide as a fate far worse than death awaits a vivacious young visitor to “the Florida-shaped fantasy land where anything goes and the puns pack every page” (Kirkus Reviews). Breanna, a beautiful young newcomer to the enchanted land of Xanth, must deal with a distressing dilemma. She has unwittingly attracted the affections of King Xeth, ruler of Xanth’s Zombies, who yearns to make her queen of the undead! Her quest to preserve her innocence, and find her destiny, takes her on an exhilarating excursion packed with perils, puzzles, and piles of puns. Zombie Lover will provide a profusion of macabre merriment.",['Piers Anthony'],http://books.google.com/books/content?id=dNGwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=dNGwDwAAQBAJ&printsec=frontcover&dq=ZOMBIE+LOVER+(XANTH)&hl=&cd=1&source=gbs_api,Open Road Media,2019-11-05,https://play.google.com/store/books/details?id=dNGwDwAAQBAJ&source=gbs_api,['Fiction'],3.0
Strategies for Stillwater,"Discusses tackle, flies, locating trout, and recognizing and matching lake food forms",['Dave Hughes'],http://books.google.com/books/content?id=ZLLggPAhNZcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=ZLLggPAhNZcC&printsec=frontcover&dq=Strategies+for+Stillwater&hl=&cd=1&source=gbs_api,Stackpole Books,1991,http://books.google.nl/books?id=ZLLggPAhNZcC&dq=Strategies+for+Stillwater&hl=&source=gbs_api,['Sports & Recreation'],1.0
Chimney Rock: A Novel,"Novelist Charlie Smith takes on the illusion and madness of America's fantasy factory. Hollywood is home for Smith's narrator, Will Blake, the scion of two generations of movie folk, himself an actor by default, though a good one, for who could better play a role or steal the show than a homeboy, raised where make-believe is every bit as real as what is real.",['Charlie Smith'],http://books.google.com/books/content?id=kRWIHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=kRWIHAAACAAJ&dq=Chimney+Rock:+A+Novel&hl=&cd=1&source=gbs_api,Owl Books,1997-11-01,http://books.google.nl/books?id=kRWIHAAACAAJ&dq=Chimney+Rock:+A+Novel&hl=&source=gbs_api,['Families'],
Doctor Dolittle's zoo,"Freshly returned from his voyages Doctor Dolittle decides to expand his zoo to include a home for crossbred dogs and a club for rodents. The Doctor’s Zoo is unlike any other zoo in the world. In his zoo there are no cages; the animals stay there voluntarily and are free to leave whenever they want. While expanding the zoo the doctor takes some time to solve a mystery with the aid of Kling, the Dog Detective. Another wonder adventure with the greats veterinarian the world has ever known! This eBook version contains nearly 100 of Lofting's original illustrations to make your reading pleasure complete.",['Hugh Lofting'],http://books.google.com/books/content?id=HK8gEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=HK8gEAAAQBAJ&printsec=frontcover&dq=Doctor+Dolittle%27s+zoo&hl=&cd=1&source=gbs_api,Simon and Schuster,2021-03-23,https://play.google.com/store/books/details?id=HK8gEAAAQBAJ&source=gbs_api,['Juvenile Fiction'],
Learning with the Body in Mind,"Capitalize on the high energy that is natural to young learners! Research suggests that movement activities are an integral part of the learning process. From role plays to relays, learning is better activated when the body gets involved. Whether you're a primary school teacher or a secondary maths teacher, you'll discover how to use movement to increase intrinsic motivation, improve attitudes, strengthen memory, and boost achievement in your classroom. This highly readable book offers a valuable compendium of practical strategies backed by clinical and classroom research for engaging students at all levels.",['Eric Jensen'],http://books.google.com/books/content?id=rahZAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=rahZAAAAYAAJ&q=Learning+with+the+Body+in+Mind&dq=Learning+with+the+Body+in+Mind&hl=&cd=1&source=gbs_api,Corwin,2000-02-16,http://books.google.nl/books?id=rahZAAAAYAAJ&dq=Learning+with+the+Body+in+Mind&hl=&source=gbs_api,['Education'],
The Brainwashing of the American Investor: The Book That Wall Street Does Not Want You to Read!,"The Brainwashing of the American InvestorRevised Edition is the updated, hands-on investing manual that challenges the prevailing wisdom to put your trust blindly in Wall Street.",['Steven R. Selengut'],http://books.google.com/books/content?id=J-c4qiIEmREC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=J-c4qiIEmREC&printsec=frontcover&dq=The+Brainwashing+of+the+American+Investor:+The+Book+That+Wall+Street+Does+Not+Want+You+to+Read!&hl=&cd=1&source=gbs_api,Traders Press,2007,http://books.google.nl/books?id=J-c4qiIEmREC&dq=The+Brainwashing+of+the+American+Investor:+The+Book+That+Wall+Street+Does+Not+Want+You+to+Read!&hl=&source=gbs_api,['Business & Economics'],
Latin for Beginners (Language Guides),"Earn-lay atin-Lay? No, not that kind of Latin! You can learn true Latin, with conjugations, declensions, and all those extra syllables – and it’s easier than you think. In fact, most people mistakenly think of learning Latin as perhaps the most useless, tedious, and difficult thing to do on earth. They couldn’t be more wrong. Latin For Dummies takes you back for a quick jaunt through the parlance of ancient Rome, as well as discussing the progress of Latin into church language, and its status today as the “dead” language that lives on in English, Spanish, Italian, and most other Western tongues. Written for those with zero prior knowledge of Latin, this snappy guide puts the basics at your fingertips and steers clear of the arcane, schoolmarm stereotype of endless declensions and Herculean translations. Easy-to-understand sections describe: Latin you already know Grammar Pronunciation Latin in action Latin in law Latin in medicine Latin for impressing your friends And much more No dusty tome or other such artifact, Latin For Dummies makes learning fun and brings the language to life by presenting conversations in various Roman settings, as well as providing fun facts and stories about classical life. And if you feel you may actually have a negative aptitude for the language, don’t worry; pronunciations and translations follow every expression, and a helpful mini-dictionary graces the book’s last pages. You’ll also find out about: The quotable Roman Latin graffiti Latin authors who’s who Gladiator Latin Latin in love, marriage, and family From the mouth of Julius Caesar Romans on drink Helpful Latin-related Web sites Fun and games exercises Designed to introduce and familiarize you with the language rather than make you the next Cicero, Latin For Dummies gives you all the tools you need to work at your own pace to learn as much or as little as you like. So noli timere (no-lee tih-may-reh) – “have no fear” – and carpe diem (“pick up Latin For Dummies today”)!","['Clifford A. Hull', 'Steven R. Perkins', 'Tracy Barr']",http://books.google.com/books/content?id=Jmdmv6sjSEoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=Jmdmv6sjSEoC&printsec=frontcover&dq=Latin+for+Beginners+(Language+Guides)&hl=&cd=1&source=gbs_api,John Wiley & Sons,2011-06-01,http://books.google.nl/books?id=Jmdmv6sjSEoC&dq=Latin+for+Beginners+(Language+Guides)&hl=&source=gbs_api,['Foreign Language Study'],1.0
THE ELEMENTS OF STYLE,"Stephen King, Over leven en schrijven `Een meesterverteller.' VPRO Gids `Hoe doet King dat toch?' vroeg Joost Zwagerman zich al af in de Volkskrant. Hoe slaagt King er toch telkens weer in zijn lezers aan zich te binden en ze te verrassen? Hierover gaat Over leven en schrijven. Stephen King verhaalt over zijn jeugd, zijn puberjaren en zijn studietijd. Over de jaren na zijn doorbraak als schrijver, met Carrie, waarin succes en stress hem achtervolgen en de drank een uitvlucht biedt. Over het ongeluk dat hem in 1999 bijna het leven kost. En hoe hij er weer bovenop komt door zijn onweerstaanbare drang tot schrijven. Over wat hem inspireert en hoe hij te werk gaat. En natuurlijk laat King zijn licht schijnen over het belangrijkste wapen van elke schrijver: de pen die de auteur altijd in de aanslag moet hebben. Over leven en schrijven is een bron van inspiratie, voor zowel lezers als (aspirant-)schrijvers. Stephen King (1947) heeft meer dan tweehonderd verhalen op zijn naam staan, waaronder vijftig thriller- en fantasy-titels, alle wereldwijde bestsellers, waaronder Under the Dome (Gevangen), 22-11-1963, De Donkere Toren-reeks, Joyland,De Shining en Dr. Sleep.",['Stephen King'],http://books.google.com/books/content?id=UGEtDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=UGEtDgAAQBAJ&pg=PP1&dq=THE+ELEMENTS+OF+STYLE&hl=&cd=1&source=gbs_api,Luitingh Sijthoff,2013-10-31,https://play.google.com/store/books/details?id=UGEtDgAAQBAJ&source=gbs_api,['Biography & Autobiography'],
Funny Cats Postcard Book,"The perfect gift for animal lovers everywhere, these unique books abound with adorable cats and dogs on postcards that are easily removed for mailing. 30 postcards.",['J.C. Suares'],http://books.google.com/books/content?id=ZhQFAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=ZhQFAAAACAAJ&dq=Funny+Cats+Postcard+Book&hl=&cd=1&source=gbs_api,"Stewart, Tabori and Chang",1996-08-01,http://books.google.nl/books?id=ZhQFAAAACAAJ&dq=Funny+Cats+Postcard+Book&hl=&source=gbs_api,['Pets'],
Copper Plate Photogravure: Demystifying the Process,"Copper Plate Photogravure describes in comprehensive detail the technique of traditional copper plate photogravure as would be practiced by visual artists using normally available facilities and materials. Attention is paid to step-by-step guidance through the many stages of the process. A detailed manual of technique, Copper Plate Photogravure also offers the history of the medium and reference to past alternative methods of practice. Copper Plate Photogravure: Demystifying the Process is part of the current revitalization of one of the most satisfyingly beautiful image-making processes. The range of ink color and paper quality possibilities is endless. The potential for handwork and alteration of the copper plate provides yet another realm of expressive variation. The subject matter and the treatment are as variable and broad as photography itself. This book's purpose is to demystify and clarify what is a complex but altogether ""do-able"" photomechanical process using currently available materials. With Copper Plate Photogravure, you will learn how to: · produce a full-scale film positive from a photographic negative · sensitize the gravure tissue to prepare it for exposure to the positive · prepare the plate and develop the gelatin resist prior to etching · prepare the various strengths of etching solutions and etch the plate to achieve a full tonal scale · rework the plate using printmaking tools to correct flaws or to adjust the image for aesthetic reasons · use the appropriate printing inks, ink additives, quality papers, and printshop equipment to produce a high quality print A historical survey and appendices of detailed technical information, charts, and tables are included, as well as a list of suppliers and sources for the materials required, some of which are highly specialized. A comprehensive glossary introduces the non-photographer or non-printmaker to many of the terms particular to those fields and associated with this process.","['David Morrish', 'Marlene MacCallum']",http://books.google.com/books/content?id=viCoBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=viCoBgAAQBAJ&printsec=frontcover&dq=Copper+Plate+Photogravure:+Demystifying+the+Process&hl=&cd=1&source=gbs_api,CRC Press,2003-04-03,https://play.google.com/store/books/details?id=viCoBgAAQBAJ&source=gbs_api,['Photography'],
The Lighthouse Keeper's Wife,,['Constance Scovill Small'],http://books.google.com/books/content?id=oYLqAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=oYLqAAAACAAJ&dq=The+Lighthouse+Keeper%27s+Wife&hl=&cd=1&source=gbs_api,,1999,http://books.google.nl/books?id=oYLqAAAACAAJ&dq=The+Lighthouse+Keeper%27s+Wife&hl=&source=gbs_api,['Biography & Autobiography'],1.0
Say It in Russian (Revised) (Dover Language Guides Say It Series),"DIVContains over 1,000 useful sentences and phrases for travel or everyday living abroad: food, shopping, medical aid, courtesy, hotels, travel, and other situations. /div",['Dover'],http://books.google.com/books/content?id=JyLCAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=JyLCAgAAQBAJ&printsec=frontcover&dq=Say+It+in+Russian+(Revised)+(Dover+Language+Guides+Say+It+Series)&hl=&cd=1&source=gbs_api,Courier Corporation,2012-06-28,https://play.google.com/store/books/details?id=JyLCAgAAQBAJ&source=gbs_api,['Foreign Language Study'],
The Lower Depths and Other Plays,A brief profile of the Russian writer prefaces the texts of three plays characterized by their realistic portrayal of Russian life,"['Maksim Gorky', 'L. e. Gorky']",http://books.google.com/books/content?id=YzPqnUrzHP4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=YzPqnUrzHP4C&dq=The+Lower+Depths+and+Other+Plays&hl=&cd=1&source=gbs_api,Yale University Press,1959-01-01,http://books.google.nl/books?id=YzPqnUrzHP4C&dq=The+Lower+Depths+and+Other+Plays&hl=&source=gbs_api,['Drama'],
How to Rear Children,"This book was written for parents who do not feel they have adequate information on child-rearing or who lack confidence in their skills. Parenting skills are acquired from your childhood experiences and information acquired from a variety of sources. This may include books, lectures, classes, and observations of children in your extended family or other families. Through this book, you will discover: - Part I examines the child's interaction with the family and significant factors that affect the child. - Part II examines the role of the parent in the school environment. Suggestions for parents are given throughout the book.",['William Kabzinski'],http://books.google.com/books/content?id=txiPzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=txiPzgEACAAJ&dq=How+to+Rear+Children&hl=&cd=1&source=gbs_api,Independently Published,2021-07-24,http://books.google.nl/books?id=txiPzgEACAAJ&dq=How+to+Rear+Children&hl=&source=gbs_api,,
Penthouse March 1991,"Hector Crawford – the name remains synonymous with Australian television. The tag line ‘This has been a Crawford Production’ still resonates with generations of Australians who grew up with his cops, the Sullivan family or any of the long line of productions that flowed from his legendary company. His public façade is part of our collective memory but the man behind it, and how his passion and determination changed Australian culture forever is revealed in ‘Hector’. In this compelling account of his life Rozzi Bazzani recounts vividly how, as Crawford’s influence grew, the off screen politics employed by the TV networks and rivals to diminish his company’s power became as exciting as any of his onscreen dramas. ROZZI BAZZANI was a successful singer and studio artist for many years before she turned to writing full time. In addition to spending years of her life researching Hector and Dorothy Crawford’s lives, she co-wrote the musicals Gershwin, The Musical and The King of Corn, and hosted countless radio and TV programs. Ms Bazzani is a graduate of Melbourne University and lives in the Macedon Ranges in Victoria. Winner of the History Publication Award at the 2016 Victorian Community History Awards Shortlisted Ashurst Business Literature prize 2016 ‘Formidable research. Tells the rich story of Crawfords before as well as after television arrived.’ – Jock Given, Media International Australia ‘Sub plots-indicate difficulties of Hector’s sister and his wives forging careers and wanting to marry and have families in the 1940’s–50’s.’ –Susan Lever, literary critic, and general editor of the Cambria Australian Literature Series ‘Detailed, and thoroughly researched – a keyhole into the times.’ – Steven Carroll, Sydney Morning Herald and The Age ‘Entertaining…’ – Tom Gilling, The Australian ‘Narrative style for a general readership’. – Don Gibbs, RHSV ‘A quite incredible book about the life of radio the TV producer Hector Crawford.’ – Melbourne Observer",['Rozzi Bazzani'],http://books.google.com/books/content?id=3C7dDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=3C7dDwAAQBAJ&pg=PT546&dq=Penthouse+March+1991&hl=&cd=1&source=gbs_api,Australian Scholarly Publishing,2020-04-17,https://play.google.com/store/books/details?id=3C7dDwAAQBAJ&source=gbs_api,['Biography & Autobiography'],
E-mails from Scheherazad (Contemporary Poetry Series),"Explores what it is like to be a woman, a person of color, an immigrant, and a headscarf-wearing Muslim in a non-Muslim country.",['Mohja Kahf'],http://books.google.com/books/content?id=8RV9QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=8RV9QgAACAAJ&dq=E-mails+from+Scheherazad+(Contemporary+Poetry+Series)&hl=&cd=1&source=gbs_api,University of Central Florida,2003,http://books.google.nl/books?id=8RV9QgAACAAJ&dq=E-mails+from+Scheherazad+(Contemporary+Poetry+Series)&hl=&source=gbs_api,['Poetry'],
"Financial Risk Manager Handbook, Second Edition","An essential guide to financial risk management as well as the onlyway to ace the GARP FRM Exam The Financial Risk Management Exam (FRM Exam) was developed by theGlobal Association of Risk Professionals (GARP) as a means ofestablishing an industry standard of minimum professionalcompetence in the field. It is given annually in November for riskprofessionals who want to earn FRM certification. Authored byrenowned financial risk management guru Phillipe Jorion, with thefull support of the GARP, this is the definitive guide for thosepreparing to take the FRM Exam. With the help of questions (andsolutions) taken from previous exams, Jorion coaches readers onquantitative methods, capital markets, and market, credit,operational, and risk management concepts and assessmenttechniques. In addition to being the indispensable guide for thoseaspiring to FRM certification, Financial Risk Manager Handbook alsoserves as a valued working reference for risk professionals. Phillipe Jorion, PhD (Irvine, CA), is a Professor of Finance at theGraduate School of Management at UC Irvine. He has also taught atColumbia University, Northwestern University, the University ofChicago, and the University of British Columbia.",['Philippe Jorion'],http://books.google.com/books/content?id=gi9jujL8UW4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=gi9jujL8UW4C&printsec=frontcover&dq=Financial+Risk+Manager+Handbook,+Second+Edition&hl=&cd=1&source=gbs_api",John Wiley & Sons,2003-06-03,https://play.google.com/store/books/details?id=gi9jujL8UW4C&source=gbs_api,['Business & Economics'],
Campfire for Cowboy Billy,"After a day of riding his stick horse, Splinter, across an imaginary landscape, Billy returns to the rooftop of his apartment to sit beneath the stars and remember Grandpa.",['Wendy K. Ulmer'],http://books.google.com/books/content?id=qlouzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=qlouzwEACAAJ&dq=Campfire+for+Cowboy+Billy&hl=&cd=1&source=gbs_api,Taylor Pub,2011,http://books.google.nl/books?id=qlouzwEACAAJ&dq=Campfire+for+Cowboy+Billy&hl=&source=gbs_api,['Juvenile Fiction'],
Photo School,"This book won't tell you how to take photographs. It will, though, teach you a much more difficult set of skills: how to be a photographer. Passing on hard-earned lessons from a successful career in commercial, editorial and lifestyle photography, Demetrius Fordham shows how to snag the best internships and assistant roles, impress at an interview, develop an amazing portfolio, forge strong relationships with clients, and lay the foundations of your own successful career. Illustrated throughout with Demetrius' own duotone photography, dramatically typeset to appeal to visual thinkers, and presented in an appealing handbook format, this is the book that will launch the careers of the next generation of photographers.",['Demetrius Fordham'],http://books.google.com/books/content?id=C9NbCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=C9NbCgAAQBAJ&pg=PA200&dq=Photo+School&hl=&cd=1&source=gbs_api,Hachette UK,2015-09-03,https://play.google.com/store/books/details?id=C9NbCgAAQBAJ&source=gbs_api,['Business & Economics'],
A new beginning,"This book is a postmodern analysis of Ronald Reagans 1984 film, A New Beginning, which marked the coming-of-age of the televisual political campaign film. The film was a landmark in the art of political filmmaking. Its thesis proclaimed a resurgence of American pride, patriotism, and prosperity under the leadership of Ronald Reagan. A New Beginning was unprecedented for a number of reasons: it replaced the traditional nominating speech for the candidate at the Republican National Convention; its form was a hybrid documentary and advertisement; it illustrated the use of televisual rebirth rhetoric to gain public support for a political ideology; and, most importantly, the masterful project documented a shift from verbal to visual rhetoric in American presidential campaigning. The author examines the film as a cultural text and as an effective political tool. Framing, ideology, myth, and visual cliché are analytic tools used to deconstruct the film; the method combines rhetorical theory with communication theory and semiotically-based theories of film and television. Morreale gives insight into the increasingly prevalent use of television to create a political reality.",['Joanne Morreale'],http://books.google.com/books/content?id=-h_c_VbOQXIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=-h_c_VbOQXIC&pg=PA2&dq=A+new+beginning&hl=&cd=1&source=gbs_api,SUNY Press,1991-07-03,http://books.google.nl/books?id=-h_c_VbOQXIC&dq=A+new+beginning&hl=&source=gbs_api,['Political Science'],
Staying Alive: Real Poems for Unreal Times,"An anthology of five hundred poems by poets from around the world explores themes of passion, spirituality, death, and friendship, in a collection that includes contributions by such writers as Mary Oliver, W.H. Auden, Charles Simic.",['Neil Astley'],http://books.google.com/books/content?id=nhxaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=nhxaAAAAMAAJ&q=Staying+Alive:+Real+Poems+for+Unreal+Times&dq=Staying+Alive:+Real+Poems+for+Unreal+Times&hl=&cd=1&source=gbs_api,Miramax,2003,http://books.google.nl/books?id=nhxaAAAAMAAJ&dq=Staying+Alive:+Real+Poems+for+Unreal+Times&hl=&source=gbs_api,['Poetry'],9.0
Lonely Planet Lao Phrasebook (Lonely Planet : Language Survival Kit),"Appreciate and participate in what's going on around you by speaking a few words of the local language. Or learn more for a longer stay. Either way, this is the book to help you communcate with Laos as you enjoy this wonderful country. Features includes: Practical words and phrases Lao script to learn or point to Pronunciation guide Tips on the culture",['Joe Cummings'],http://books.google.com/books/content?id=rPBRPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=rPBRPgAACAAJ&dq=Lonely+Planet+Lao+Phrasebook+(Lonely+Planet+:+Language+Survival+Kit)&hl=&cd=1&source=gbs_api,,1995,http://books.google.nl/books?id=rPBRPgAACAAJ&dq=Lonely+Planet+Lao+Phrasebook+(Lonely+Planet+:+Language+Survival+Kit)&hl=&source=gbs_api,['Lao language'],
"Stories of the Spirit, Stories of the Heart: Parables of the Spiritual Path from Around the World",,"['Christina Feldman', 'Jack Kornfield']",http://books.google.com/books/content?id=6RQRAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.nl/books?id=6RQRAQAAIAAJ&q=Stories+of+the+Spirit,+Stories+of+the+Heart:+Parables+of+the+Spiritual+Path+from+Around+the+World&dq=Stories+of+the+Spirit,+Stories+of+the+Heart:+Parables+of+the+Spiritual+Path+from+Around+the+World&hl=&cd=1&source=gbs_api",Harper San Francisco,1991,"http://books.google.nl/books?id=6RQRAQAAIAAJ&dq=Stories+of+the+Spirit,+Stories+of+the+Heart:+Parables+of+the+Spiritual+Path+from+Around+the+World&hl=&source=gbs_api",['Parables'],
